Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
Australia,Organic primary production,Primary production product loss,Recycling,Recycling,89225,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production product loss,Unknown,Unknown,81876,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production product loss,Waste reuse,Waste reuse,2338471,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production product loss,Recycling,Recycling,89225,2021-12-31,Total,9
Australia,Organic primary production,Primary production product loss,Unknown,Unknown,81876,2021-12-31,Total,9
Australia,Organic primary production,Primary production product loss,Waste reuse,Waste reuse,2338471,2021-12-31,Total,9
Australia,Organic primary production,Primary production sludges,Recycling,Recycling,0,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production sludges,Unknown,Unknown,3919,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production sludges,Waste reuse,Waste reuse,197100,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production sludges,Recycling,Recycling,0,2021-12-31,Total,9
Australia,Organic primary production,Primary production sludges,Unknown,Unknown,3919,2021-12-31,Total,9
Australia,Organic primary production,Primary production sludges,Waste reuse,Waste reuse,197100,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Anaerobic digestion,Recycling,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Energy from waste facility,Energy recovery,2535,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Landfill,Disposal,2954,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Other disposal,Disposal,6443,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Recycling,Recycling,555067,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Unknown,Unknown,584627,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Waste reuse,Waste reuse,1674063,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Broadacre crops food processing,Anaerobic digestion,Recycling,0,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Energy from waste facility,Energy recovery,2535,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Landfill,Disposal,2954,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Other disposal,Disposal,6443,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Recycling,Recycling,555067,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Unknown,Unknown,584627,2021-12-31,Total,9
Australia,Organic processing,Broadacre crops food processing,Waste reuse,Waste reuse,1674063,2021-12-31,Total,9
Australia,Organic processing,Cotton gin trash,Unknown,Unknown,108645,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Cotton gin trash,Unknown,Unknown,108645,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Anaerobic digestion,Recycling,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Energy from waste facility,Energy recovery,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Landfill,Disposal,7782,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Other disposal,Disposal,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Recycling,Recycling,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Unknown,Unknown,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Waste reuse,Waste reuse,7782,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Fisheries food processing,Anaerobic digestion,Recycling,0,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Landfill,Disposal,7782,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Other disposal,Disposal,0,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Recycling,Recycling,0,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Unknown,Unknown,0,2021-12-31,Total,9
Australia,Organic processing,Fisheries food processing,Waste reuse,Waste reuse,7782,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Anaerobic digestion,Recycling,16128,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Energy from waste facility,Energy recovery,25704,2021-12-31,C&I (organic processing),6
