Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,4,2013-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,258,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,2,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,4,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,14,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,120,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,59,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,3683,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,711,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2013-12-31,C&I core,3
