y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
8137,1,9,8,62,7,5,14
556,1,5,8,63,4,3,14
1622,1,5,8,63,6,4,14
7453,1,5,8,63,7,5,14
556,1,9,8,63,4,3,14
1622,1,9,8,63,6,4,14
7453,1,9,8,63,7,5,14
6543,1,5,8,64,4,3,14
6446,1,5,8,64,6,4,14
8360,1,5,8,64,7,5,14
6543,1,9,8,64,4,3,14
6446,1,9,8,64,6,4,14
8360,1,9,8,64,7,5,14
0,1,5,8,65,4,3,14
2252,1,5,8,65,6,4,14
7297,1,5,8,65,7,5,14
0,1,9,8,65,4,3,14
2252,1,9,8,65,6,4,14
7297,1,9,8,65,7,5,14
0,1,6,9,9,0,3,14
1752,1,6,9,9,1,1,14
1926,1,6,9,9,2,0,14
2915,1,6,9,9,3,0,14
8034,1,6,9,9,4,3,14
8059,1,6,9,9,6,4,14
8334,1,6,9,9,7,5,14
0,1,9,9,9,0,3,14
1752,1,9,9,9,1,1,14
1926,1,9,9,9,2,0,14
2915,1,9,9,9,3,0,14
8034,1,9,9,9,4,3,14
8059,1,9,9,9,6,4,14
8334,1,9,9,9,7,5,14
6743,1,6,9,18,6,4,14
6743,1,9,9,18,6,4,14
0,1,6,9,19,0,3,14
0,1,6,9,19,1,1,14
3156,1,6,9,19,2,0,14
0,1,6,9,19,3,0,14
0,1,6,9,19,4,3,14
0,1,6,9,19,6,4,14
3156,1,6,9,19,7,5,14
0,1,9,9,19,0,3,14
0,1,9,9,19,1,1,14
3156,1,9,9,19,2,0,14
0,1,9,9,19,3,0,14
0,1,9,9,19,4,3,14
0,1,9,9,19,6,4,14
3156,1,9,9,19,7,5,14
4245,1,6,9,26,0,3,14
4955,1,6,9,26,1,1,14
5013,1,6,9,26,2,0,14
4940,1,6,9,26,3,0,14
8100,1,6,9,26,4,3,14
4736,1,6,9,26,6,4,14
8147,1,6,9,26,7,5,14
4245,1,9,9,26,0,3,14
4955,1,9,9,26,1,1,14
5013,1,9,9,26,2,0,14
4940,1,9,9,26,3,0,14
8100,1,9,9,26,4,3,14
