Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,21006,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,159197,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,48222,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,1543152,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6463,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,283461,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,59298,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,21006,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,159197,2021-12-31,09 Total
NSW,Mining,,Mining waste total,Landfill,Disposal,120,2021-12-31,08 C&I (mining)
NSW,Mining,,Mining waste total,Other disposal,Disposal,79445648,2021-12-31,08 C&I (mining)
NSW,Mining,,Mining waste total,Recycling,Recycling,5,2021-12-31,08 C&I (mining)
NSW,Mining,,Mining waste total,Unknown,Unknown,235,2021-12-31,08 C&I (mining)
NSW,Mining,,Mining waste total,Landfill,Disposal,120,2021-12-31,09 Total
NSW,Mining,,Mining waste total,Other disposal,Disposal,79445648,2021-12-31,09 Total
NSW,Mining,,Mining waste total,Recycling,Recycling,5,2021-12-31,09 Total
NSW,Mining,,Mining waste total,Unknown,Unknown,235,2021-12-31,09 Total
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
NSW,Total,,All other waste total,Landfill,Disposal,1438734,2021-12-31,02 C&D
NSW,Total,,All other waste total,Landfill,Energy recovery,10776,2021-12-31,02 C&D
NSW,Total,,All other waste total,Recycling,Recycling,7509633,2021-12-31,02 C&D
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,03 C&I core
NSW,Total,,All other waste total,Landfill,Disposal,1816417,2021-12-31,03 C&I core
NSW,Total,,All other waste total,Landfill,Energy recovery,160694,2021-12-31,03 C&I core
NSW,Total,,All other waste total,Recycling,Recycling,1898448,2021-12-31,03 C&I core
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,01 MSW
NSW,Total,,All other waste total,Landfill,Disposal,2393716,2021-12-31,01 MSW
NSW,Total,,All other waste total,Landfill,Energy recovery,376512,2021-12-31,01 MSW
NSW,Total,,All other waste total,Recycling,Recycling,2198832,2021-12-31,01 MSW
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,09 Total
NSW,Total,,All other waste total,Landfill,Disposal,5648867,2021-12-31,09 Total
NSW,Total,,All other waste total,Landfill,Energy recovery,547983,2021-12-31,09 Total
NSW,Total,,All other waste total,Recycling,Recycling,11606913,2021-12-31,09 Total
NT,Biosolids,,Biosolids total,Other disposal,Disposal,2720,2021-12-31,03 C&I core
NT,Biosolids,,Biosolids total,Recycling,Recycling,12240,2021-12-31,03 C&I core
NT,Biosolids,,Biosolids total,Other disposal,Disposal,2720,2021-12-31,09 Total
NT,Biosolids,,Biosolids total,Recycling,Recycling,12240,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
