y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
1,0,C&I core,4,32,5,0,14
0,0,C&I core,4,32,5,1,14
0,0,C&I core,4,32,5,3,14
0,0,Total,4,32,1,1,14
2,0,Total,4,32,2,0,14
0,0,Total,4,32,3,0,14
0,0,Total,4,32,4,3,14
1,0,Total,4,32,5,0,14
0,0,Total,4,32,5,1,14
0,0,Total,4,32,5,3,14
0,0,C&D,4,33,1,1,14
0,0,C&D,4,33,2,0,14
0,0,C&D,4,33,3,0,14
0,0,C&D,4,33,4,3,14
0,0,C&D,4,33,5,0,14
0,0,C&D,4,33,5,1,14
0,0,C&D,4,33,5,3,14
0,0,C&I core,4,33,1,1,14
0,0,C&I core,4,33,2,0,14
0,0,C&I core,4,33,3,0,14
4,0,C&I core,4,33,4,3,14
4,0,C&I core,4,33,5,0,14
0,0,C&I core,4,33,5,1,14
0,0,C&I core,4,33,5,3,14
0,0,Total,4,33,1,1,14
0,0,Total,4,33,2,0,14
0,0,Total,4,33,3,0,14
4,0,Total,4,33,4,3,14
4,0,Total,4,33,5,0,14
0,0,Total,4,33,5,1,14
0,0,Total,4,33,5,3,14
0,0,C&D,4,34,1,1,14
0,0,C&D,4,34,2,0,14
0,0,C&D,4,34,3,0,14
0,0,C&D,4,34,4,3,14
0,0,C&D,4,34,5,0,14
0,0,C&D,4,34,5,1,14
0,0,C&D,4,34,5,3,14
0,0,C&I core,4,34,1,1,14
0,0,C&I core,4,34,2,0,14
0,0,C&I core,4,34,3,0,14
0,0,C&I core,4,34,4,3,14
0,0,C&I core,4,34,5,0,14
0,0,C&I core,4,34,5,1,14
0,0,C&I core,4,34,5,3,14
0,0,Total,4,34,1,1,14
0,0,Total,4,34,2,0,14
0,0,Total,4,34,3,0,14
0,0,Total,4,34,4,3,14
0,0,Total,4,34,5,0,14
0,0,Total,4,34,5,1,14
0,0,Total,4,34,5,3,14
0,0,C&D,4,36,1,1,14
0,0,C&D,4,36,2,0,14
0,0,C&D,4,36,3,0,14
0,0,C&D,4,36,4,3,14
0,0,C&D,4,36,5,0,14
0,0,C&D,4,36,5,1,14
0,0,C&D,4,36,5,3,14
0,0,C&I core,4,36,1,1,14
0,0,C&I core,4,36,2,0,14
0,0,C&I core,4,36,3,0,14
0,0,C&I core,4,36,4,3,14
0,0,C&I core,4,36,5,0,14
0,0,C&I core,4,36,5,1,14
0,0,C&I core,4,36,5,3,14
0,0,Total,4,36,1,1,14
0,0,Total,4,36,2,0,14
0,0,Total,4,36,3,0,14
0,0,Total,4,36,4,3,14
0,0,Total,4,36,5,0,14
0,0,Total,4,36,5,1,14
0,0,Total,4,36,5,3,14
0,0,C&D,4,37,1,1,14
0,0,C&D,4,37,2,0,14
0,0,C&D,4,37,3,0,14
0,0,C&D,4,37,4,3,14
0,0,C&D,4,37,5,0,14
0,0,C&D,4,37,5,1,14
0,0,C&D,4,37,5,3,14
0,0,C&I core,4,37,1,1,14
0,0,C&I core,4,37,2,0,14
0,0,C&I core,4,37,3,0,14
33,0,C&I core,4,37,4,3,14
34,0,C&I core,4,37,5,0,14
0,0,C&I core,4,37,5,1,14
0,0,C&I core,4,37,5,3,14
0,0,Total,4,37,1,1,14
0,0,Total,4,37,2,0,14
0,0,Total,4,37,3,0,14
33,0,Total,4,37,4,3,14
34,0,Total,4,37,5,0,14
0,0,Total,4,37,5,1,14
0,0,Total,4,37,5,3,14
0,0,C&D,4,40,1,1,14
0,0,C&D,4,40,2,0,14
0,0,C&D,4,40,3,0,14
0,0,C&D,4,40,4,3,14
0,0,C&D,4,40,5,0,14
0,0,C&D,4,40,5,1,14
0,0,C&D,4,40,5,3,14
0,0,C&I core,4,40,1,1,14
51,0,C&I core,4,40,2,0,14
0,0,C&I core,4,40,3,0,14
15,0,C&I core,4,40,4,3,14
23,0,C&I core,4,40,5,0,14
0,0,C&I core,4,40,5,1,14
10,0,C&I core,4,40,5,3,14
0,0,Total,4,40,1,1,14
51,0,Total,4,40,2,0,14
0,0,Total,4,40,3,0,14
15,0,Total,4,40,4,3,14
23,0,Total,4,40,5,0,14
0,0,Total,4,40,5,1,14
10,0,Total,4,40,5,3,14
0,0,C&D,4,41,1,1,14
0,0,C&D,4,41,2,0,14
0,0,C&D,4,41,3,0,14
0,0,C&D,4,41,4,3,14
0,0,C&D,4,41,5,0,14
0,0,C&D,4,41,5,1,14
0,0,C&D,4,41,5,3,14
0,0,C&I core,4,41,1,1,14
187,0,C&I core,4,41,2,0,14
1,0,C&I core,4,41,3,0,14
15,0,C&I core,4,41,4,3,14
9,0,C&I core,4,41,5,0,14
3,0,C&I core,4,41,5,1,14
3,0,C&I core,4,41,5,3,14
0,0,Total,4,41,1,1,14
187,0,Total,4,41,2,0,14
1,0,Total,4,41,3,0,14
15,0,Total,4,41,4,3,14
9,0,Total,4,41,5,0,14
3,0,Total,4,41,5,1,14
3,0,Total,4,41,5,3,14
0,0,C&D,4,42,1,1,14
0,0,C&D,4,42,2,0,14
0,0,C&D,4,42,3,0,14
0,0,C&D,4,42,4,3,14
0,0,C&D,4,42,5,0,14
0,0,C&D,4,42,5,1,14
0,0,C&D,4,42,5,3,14
0,0,C&I core,4,42,1,1,14
0,0,C&I core,4,42,2,0,14
0,0,C&I core,4,42,3,0,14
0,0,C&I core,4,42,4,3,14
0,0,C&I core,4,42,5,0,14
0,0,C&I core,4,42,5,1,14
0,0,C&I core,4,42,5,3,14
0,0,Total,4,42,1,1,14
0,0,Total,4,42,2,0,14
0,0,Total,4,42,3,0,14
0,0,Total,4,42,4,3,14
0,0,Total,4,42,5,0,14
0,0,Total,4,42,5,1,14
0,0,Total,4,42,5,3,14
0,0,C&D,4,44,1,1,14
0,0,C&D,4,44,2,0,14
0,0,C&D,4,44,3,0,14
0,0,C&D,4,44,4,3,14
0,0,C&D,4,44,5,0,14
0,0,C&D,4,44,5,1,14
0,0,C&D,4,44,5,3,14
0,0,C&I core,4,44,1,1,14
0,0,C&I core,4,44,2,0,14
0,0,C&I core,4,44,3,0,14
0,0,C&I core,4,44,4,3,14
0,0,C&I core,4,44,5,0,14
