Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,34,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,34,2021-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,51,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,23,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,51,2021-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,23,2021-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,188,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,1,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,9,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,3,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,188,2021-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,1,2021-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,9,2021-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,3,2021-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Pesticides (H),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Pesticides (H),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Pesticides (H),Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Pesticides (H),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Pesticides (H),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Plating and heat treatment (A),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Plating and heat treatment (A),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Plating and heat treatment (A),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Plating and heat treatment (A),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Plating and heat treatment (A),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Plating and heat treatment (A),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Plating and heat treatment (A),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Plating and heat treatment (A),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Plating and heat treatment (A),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Plating and heat treatment (A),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Reactive chemicals (E),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Reactive chemicals (E),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Reactive chemicals (E),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Reactive chemicals (E),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Reactive chemicals (E),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Reactive chemicals (E),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Reactive chemicals (E),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Reactive chemicals (E),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Reactive chemicals (E),Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Reactive chemicals (E),Treatment,Energy recovery,0,2021-12-31,C&I core,3
