Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
Australia,Mining,Nickel ore mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Nickel ore mining,Unknown,Unknown,903,2019-12-31,8
Australia,Mining,Oil and gas extraction,Landfill,Disposal,0,2019-12-31,8
Australia,Mining,Oil and gas extraction,Other disposal,Disposal,304609,2019-12-31,8
Australia,Mining,Oil and gas extraction,Recycling,Recycling,3579,2019-12-31,8
Australia,Mining,Oil and gas extraction,Unknown,Unknown,418,2019-12-31,8
Australia,Mining,Other construction material mining,Landfill,Disposal,0,2019-12-31,8
Australia,Mining,Other construction material mining,Other disposal,Disposal,0,2019-12-31,8
Australia,Mining,Other construction material mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Other construction material mining,Unknown,Unknown,0,2019-12-31,8
Australia,Mining,Other metal ore mining,Landfill,Disposal,10,2019-12-31,8
Australia,Mining,Other metal ore mining,Other disposal,Disposal,19501416,2019-12-31,8
Australia,Mining,Other metal ore mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Other metal ore mining,Unknown,Unknown,2,2019-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Landfill,Disposal,18,2019-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Other disposal,Disposal,4423182,2019-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Unknown,Unknown,0,2019-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Landfill,Disposal,9,2019-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Other disposal,Disposal,46816538,2019-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Unknown,Unknown,6,2019-12-31,8
