Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
ACT,Hazardous wastes,Asbestos (N220),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Landfill,Disposal,19548,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Treatment,Disposal,11,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,1,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,93,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,98,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,1,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,93,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,98,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,22,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,3,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,1,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,6,2021-12-31,2
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,9,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,1,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,1,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,2,2021-12-31,3
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,31,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,4,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,2,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,8,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,34,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,4513,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,710,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,710,2021-12-31,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,34,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,4513,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,710,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,710,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,2,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,6,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,90,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,2,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,18,2021-12-31,3
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,2,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,6,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,90,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,2,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,18,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,7,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,1,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,889,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,145,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,581,2021-12-31,3
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,7,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,1,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,889,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,145,2021-12-31,9
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,581,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,2,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,1,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,2,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,1,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,4,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,4,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,4,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,4,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Other miscellaneous (other T),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Other miscellaneous (other T),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2021-12-31,3
